ID,Id-Mets-Score,Id-Mets-Rank,All-Mets-Score,All-Mets-Rank
1.1.1.1: Alcohol dehydrogenase,0.3689,401,0.279,3368
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase,0.222,2459,0.2521,4636
1.1.1.101: Acylglycerone-phosphate reductase,0.3559,576,0.3637,792
1.1.1.102: 3-dehydrosphinganine reductase,0.3135,1049,0.3541,1033
1.1.1.103: L-threonine 3-dehydrogenase,0.3203,955,0.3697,699
1.1.1.108: Carnitine 3-dehydrogenase,0.332,827,0.2693,3774
1.1.1.11: D-arabinitol 4-dehydrogenase,0.2758,1725,0.3405,1373
1.1.1.116: D-arabinose 1-dehydrogenase (NAD(+)),0.3549,595,0.3393,1407
1.1.1.122: D-threo-aldose 1-dehydrogenase,0.2398,2280,0.2675,3853
1.1.1.125: 2-deoxy-D-gluconate 3-dehydrogenase,0.3388,749,0.3338,1556
1.1.1.127: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,0.2998,1329,0.328,1715
1.1.1.130: 3-dehydro-L-gulonate 2-dehydrogenase,0.2739,1763,0.3231,1834
1.1.1.131: Mannuronate reductase,0.319,975,0.3266,1748
1.1.1.132: GDP-mannose 6-dehydrogenase,0.5075,55,0.5012,85
1.1.1.133: dTDP-4-dehydrorhamnose reductase,0.3101,1145,0.3733,648
1.1.1.137: Ribitol-5-phosphate 2-dehydrogenase,0.3335,812,0.299,2608
1.1.1.14: L-iditol 2-dehydrogenase,0.3082,1170,0.3827,558
1.1.1.140: Sorbitol-6-phosphate 2-dehydrogenase,0.2392,2294,0.2723,3651
1.1.1.154: Ureidoglycolate dehydrogenase,0.272,1789,0.262,4113
1.1.1.156: Glycerol 2-dehydrogenase (NADP(+)),0.3553,587,0.3496,1195
1.1.1.157: 3-hydroxybutyryl-CoA dehydrogenase,0.3045,1244,0.3603,886
1.1.1.159: 7-alpha-hydroxysteroid dehydrogenase,0.2671,1884,0.3306,1629
1.1.1.169: 2-dehydropantoate 2-reductase,0.2543,2092,0.2996,2578
1.1.1.17: Mannitol-1-phosphate 5-dehydrogenase,0.2265,2424,0.2431,5151
1.1.1.170: (decarboxylating),0.3255,904,0.2292,5994
1.1.1.176: 12-alpha-hydroxysteroid dehydrogenase,0.2843,1580,0.2218,6465
1.1.1.179: D-xylose 1-dehydrogenase (NADP(+)),0.3686,403,0.3314,1617
1.1.1.18: Inositol 2-dehydrogenase,0.2696,1831,0.2961,2701
1.1.1.184: Carbonyl reductase (NADPH),0.2879,1526,0.2442,5081
1.1.1.188: Prostaglandin-F synthase,0.3203,956,0.2821,3231
1.1.1.193: 5-amino-6-(5-phosphoribosylamino)uracil reductase,0.3268,891,0.2192,6645
1.1.1.2: Alcohol dehydrogenase (NADP(+)),0.2899,1483,0.2877,3000
1.1.1.202: 1,3-propanediol dehydrogenase,0.2637,1950,0.243,5160
1.1.1.205: IMP dehydrogenase,0.2114,2533,0.3009,2513
1.1.1.21: Aldehyde reductase,0.327,887,0.3454,1270
1.1.1.210: 3-beta-(or 20-alpha)-hydroxysteroid dehydrogenase,0.3677,409,0.3413,1362
1.1.1.215: Gluconate 2-dehydrogenase,0.2836,1586,0.3281,1713
1.1.1.218: Morphine 6-dehydrogenase,0.301,1312,0.2757,3495
1.1.1.219: Dihydrokaempferol 4-reductase,0.2906,1473,0.2312,5862
1.1.1.22: UDP-glucose 6-dehydrogenase,0.307,1195,0.3178,1975
1.1.1.23: Histidinol dehydrogenase,0.3577,519,0.4941,98
1.1.1.25: Shikimate dehydrogenase,0.2255,2436,0.2308,5886
1.1.1.251: Galactitol-1-phosphate 5-dehydrogenase,0.3563,570,0.337,1463
1.1.1.255: Mannitol dehydrogenase,0.3588,475,0.3218,1869
1.1.1.26: Glyoxylate reductase,0.2656,1917,0.2228,6395
1.1.1.261: sn-glycerol-1-phosphate dehydrogenase,0.3093,1159,0.2739,3585
1.1.1.262: 4-hydroxythreonine-4-phosphate dehydrogenase,0.2924,1443,0.2741,3575
1.1.1.264: L-idonate 5-dehydrogenase (NAD(P)(+)),0.296,1391,0.3655,757
1.1.1.265: 3-methylbutanal reductase,0.3552,588,0.348,1231
1.1.1.267: 1-deoxy-D-xylulose-5-phosphate reductoisomerase,0.3178,989,0.3526,1127
1.1.1.268: 2-(R)-hydroxypropyl-CoM dehydrogenase,0.2749,1740,0.2658,3931
1.1.1.27: L-lactate dehydrogenase,0.2234,2452,0.2105,7278
1.1.1.270: 3-beta-hydroxysteroid 3-dehydrogenase,0.3575,537,0.3596,906
1.1.1.271: GDP-L-fucose synthase,0.389,307,0.424,283
1.1.1.272: D-2-hydroxyacid dehydrogenase (NADP(+)),0.4063,245,0.4476,207
1.1.1.274: 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming),0.2575,2056,0.1962,8277
