ID,Id-Mets-Score,Id-Mets-Rank,All-Mets-Score,All-Mets-Rank
2.3.1.169: CO-methylating acetyl-CoA synthase,0.59,15,0.78,1
1.14.13.81: Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,0.65,6,0.77,2
2.1.1.51: Transferred entry: 2.1.1.187 and 2.1.1.188,0.59,18,0.69,3
3.4.13.22: D-Ala-D-Ala dipeptidase,0.65,5,0.56,31
5.1.99.1: Methylmalonyl-CoA epimerase,0.51,57,0.67,5
2.3.3.1: Citrate (Si)-synthase,0.57,23,0.66,6
4.1.1.32: Phosphoenolpyruvate carboxykinase (GTP),0.62,10,0.66,7
1.8.4.2: Protein-disulfide reductase (glutathione),0.61,12,0.66,8
1.8.98.1: CoB--CoM heterodisulfide reductase,0.47,94,0.65,9
3.4.19.12: Ubiquitinyl hydrolase 1,0.52,43,0.63,10
6.1.1.5: Isoleucine--tRNA ligase,0.54,35,0.63,11
3.4.23.50: Human endogenous retrovirus K endopeptidase,0.52,49,0.62,13
3.2.1.78: Mannan endo-1,4-beta-mannosidase,0.6,14,0.62,15
5.1.3.8: N-acylglucosamine 2-epimerase,0.53,40,0.62,14
