ID,Species-Id-Mets-Score,Species-Id-Mets-Rank,Species-All-Mets-Score,Species-All-Mets-Rank,Enzymes-Id-Mets-Score,Enzymes-Id-Mets-Rank,Enzymes-All-Mets-Score,Enzymes-All-Mets-Rank
C18-neg_Cluster_0001,,,0.143,8831,,,0.167,10148
C18-neg_Cluster_0002,,,0.143,8832,,,0.1597,10429
C18-neg_Cluster_0003,,,0.1963,5954,,,0.1844,9129
4-hydroxystyrene,0.4008,106,0.2876,1316,0.3396,741,0.2319,5818
C18-neg_Cluster_0005,,,0.1779,7402,,,0.1862,8981
C18-neg_Cluster_0006,,,0.3246,731,,,0.2713,3692
C18-neg_Cluster_0007,,,0.2535,2308,,,0.2983,2638
C18-neg_Cluster_0008,,,0.1728,7726,,,0.2788,3375
C18-neg_Cluster_0009,,,0.2214,4027,,,0.2223,6437
C18-neg_Cluster_0010,,,0.1662,8124,,,0.2606,4170
C18-neg_Cluster_0011,,,0.5214,39,,,0.356,993
C18-neg_Cluster_0012,,,0.138,8917,,,0.1755,9695
C18-neg_Cluster_0013,,,0.1573,8491,,,0.3254,1776
C18-neg_Cluster_0014,,,0.1737,7680,,,0.2707,3719
C18-neg_Cluster_0015,,,0.1877,6647,,,0.1892,8749
C18-neg_Cluster_0016,,,0.3265,702,,,0.3486,1214
C18-neg_Cluster_0017,,,0.3349,623,,,0.3481,1228
C18-neg_Cluster_0018,,,0.146,8774,,,0.1517,10651
p-hydroxyphenylacetate,0.3522,207,0.2058,5168,0.2619,1985,0.1599,10422
Medium-chain fatty acids,,,0.4613,79,,,0.3648,764
C18-neg_Cluster_0021,,,0.154,8592,,,0.2438,5109
C18-neg_Cluster_0022,,,0.3244,733,,,0.2971,2674
Hexoses,,,0.5968,20,,,0.5221,58
Hexoses,,,0.3779,310,,,0.3488,1211
acesulfame,0.3101,349,0.2069,5091,0.2933,1428,0.2908,2882
C18-neg_Cluster_0026,,,0.2107,4801,,,0.2454,5004
C18-neg_Cluster_0027,,,0.1883,6598,,,0.2913,2866
C18-neg_Cluster_0028,,,0.1754,7574,,,0.1985,8093
C18-neg_Cluster_0029,,,0.1594,8411,,,0.1706,9951
C18-neg_Cluster_0030,,,0.2043,5275,,,0.2836,3168
