ID,Id-Mets-Score,Id-Mets-Rank,All-Mets-Score,All-Mets-Rank
Methanobrevibacter_smithii,0.5211,23,0.5455,32
Methanosphaera_stadtmanae,0.2847,466,0.2713,1712
Rothia_mucilaginosa,0.5713,12,0.6308,10
Propionibacterium_freudenreichii,0.2724,514,0.2262,3704
Bifidobacterium_adolescentis,0.5703,13,0.5892,22
Bifidobacterium_animalis,0.2712,518,0.2305,3464
Bifidobacterium_bifidum,0.2999,399,0.2728,1661
Bifidobacterium_breve,0.3296,284,0.3145,844
Bifidobacterium_catenulatum,0.2613,552,0.2482,2521
Bifidobacterium_dentium,0.3301,283,0.2327,3304
Bifidobacterium_longum,0.2949,420,0.2426,2771
Bifidobacterium_pseudocatenulatum,0.3427,228,0.3057,986
Adlercreutzia_equolifaciens,0.4768,45,0.7181,5
Collinsella_aerofaciens,0.4581,61,0.6091,14
Collinsella_intestinalis,0.3124,339,0.2638,1944
Collinsella_unclassified,0.3693,162,0.2739,1636
Eggerthella_lenta,0.3323,270,0.2777,1542
Eggerthella_sp_1_3_56FAA,0.3314,277,0.2779,1538
Eggerthella_unclassified,0.2936,429,0.2673,1844
Gordonibacter_pamelaeae,0.4684,52,0.5995,18
Slackia_piriformis,0.2613,553,0.2204,4106
Bacteroides_caccae,0.4241,85,0.3891,251
Bacteroides_cellulosilyticus,0.325,295,0.2698,1769
Bacteroides_dorei,0.2995,400,0.3017,1048
Bacteroides_eggerthii,0.3684,163,0.3546,443
Bacteroides_faecis,0.3415,231,0.2832,1411
Bacteroides_finegoldii,0.3114,346,0.2256,3736
Bacteroides_fragilis,0.279,489,0.2444,2689
Bacteroides_intestinalis,0.2706,520,0.2661,1882
Bacteroides_massiliensis,0.3585,186,0.3238,735
Bacteroides_ovatus,0.3441,222,0.3326,640
Bacteroides_salyersiae,0.3638,176,0.2577,2144
Bacteroides_sp_2_1_22,0.297,412,0.2041,5290
Bacteroides_stercoris,0.3571,193,0.3115,889
Bacteroides_thetaiotaomicron,0.3484,214,0.3311,654
Bacteroides_uniformis,0.2744,503,0.3859,268
Bacteroides_vulgatus,0.3472,216,0.2558,2203
Bacteroides_xylanisolvens,0.3369,248,0.348,492
Bacteroidales_bacterium_ph8,0.4193,90,0.4918,56
Barnesiella_intestinihominis,0.3173,323,0.3844,282
Odoribacter_laneus,0.2597,563,0.2035,5339
Odoribacter_splanchnicus,0.3361,254,0.3731,339
Parabacteroides_distasonis,0.3136,336,0.2451,2653
Parabacteroides_goldsteinii,0.3295,286,0.2379,3003
Parabacteroides_merdae,0.2808,483,0.3109,903
Parabacteroides_unclassified,0.3015,394,0.3175,807
Paraprevotella_clara,0.2763,499,0.2552,2233
Paraprevotella_unclassified,0.3163,326,0.2867,1340
Prevotella_copri,0.494,38,0.3538,450
Alistipes_finegoldii,0.4261,84,0.5184,41
Alistipes_indistinctus,0.4883,41,0.6474,7
Alistipes_onderdonkii,0.3893,128,0.5988,19
Alistipes_putredinis,0.3866,131,0.5169,42
Alistipes_senegalensis,0.3949,116,0.3891,252
Alistipes_shahii,0.3895,127,0.5163,43
Alistipes_sp_AP11,0.3126,337,0.2511,2420
Alistipes_sp_HGB5,0.3079,359,0.2569,2170
Alistipes_unclassified,0.3569,194,0.2807,1466
Enterococcus_avium,0.302,389,0.2494,2476
Enterococcus_faecalis,0.2729,510,0.2804,1476
Enterococcus_faecium,0.2961,416,0.3047,1000
Lactobacillus_acidophilus,0.3523,206,0.3013,1058
Lactobacillus_casei_paracasei,0.2491,596,0.2861,1348
Lactobacillus_fermentum,0.376,151,0.4315,122
Lactobacillus_gasseri,0.4017,105,0.403,197
Lactobacillus_plantarum,0.2818,478,0.264,1941
Lactobacillus_rhamnosus,0.3059,369,0.267,1860
Lactobacillus_salivarius,0.2798,485,0.2701,1758
Pediococcus_acidilactici,0.2542,574,0.2734,1645
Pediococcus_lolii,0.3324,269,0.3016,1049
Pediococcus_unclassified,0.3498,211,0.3505,470
Leuconostoc_citreum,0.58,10,0.5499,29
Lactococcus_lactis,0.2935,433,0.2581,2130
Streptococcus_australis,0.2919,439,0.2545,2262
Streptococcus_lutetiensis,0.3404,235,0.2354,3138
Streptococcus_mutans,0.3012,395,0.2493,2478
Streptococcus_parasanguinis,0.3433,225,0.2727,1667
Streptococcus_salivarius,0.2513,589,0.2384,2976
Streptococcus_sanguinis,0.3226,300,0.3247,729
Streptococcus_thermophilus,0.358,190,0.26,2073
Streptococcus_vestibularis,0.2967,415,0.279,1507
Butyricicoccus_pullicaecorum,0.3118,341,0.3375,590
Clostridiaceae_bacterium_JC118,0.3402,236,0.3042,1011
Clostridium_asparagiforme,0.2541,575,0.2324,3328
Clostridium_bolteae,0.261,556,0.3021,1040
Clostridium_butyricum,0.4055,101,0.41,176
Clostridium_clostridioforme,0.3248,296,0.3546,444
Clostridium_hathewayi,0.5008,33,0.3643,381
Clostridium_leptum,0.5461,17,0.7365,4
Clostridium_nexile,0.302,388,0.2551,2239
Clostridium_perfringens,0.2877,454,0.3384,579
Clostridium_scindens,0.3027,385,0.3389,574
Clostridium_sp_KLE_1755,0.3199,310,0.2838,1397
Clostridium_sp_L2_50,0.2903,447,0.3119,880
Clostridium_symbiosum,0.2637,547,0.2388,2956
Clostridiales_bacterium_1_7_47FAA,0.3065,367,0.2447,2668
Flavonifractor_plautii,0.3984,109,0.2956,1151
Eubacterium_eligens,0.4531,66,0.363,391
Eubacterium_hallii,0.4971,35,0.6144,12
Eubacterium_ramulus,0.3309,281,0.3492,481
Eubacterium_rectale,0.337,247,0.3113,893
Eubacterium_siraeum,0.513,28,0.6075,15
Eubacterium_sp_3_1_31,0.3333,267,0.3118,881
Eubacterium_ventriosum,0.5542,14,0.5807,24
Anaerostipes_caccae,0.3079,360,0.2257,3728
Anaerostipes_hadrus,0.3615,179,0.2621,2011
Anaerostipes_unclassified,0.4919,39,0.3362,601
Blautia_hansenii,0.3942,117,0.3321,643
Blautia_hydrogenotrophica,0.2826,472,0.281,1461
Blautia_producta,0.2696,524,0.2421,2797
Ruminococcus_gnavus,0.4871,42,0.4832,65
Ruminococcus_obeum,0.3386,244,0.5431,34
Ruminococcus_torques,0.419,92,0.5093,45
Coprococcus_catus,0.4403,71,0.6282,11
Coprococcus_comes,0.6492,4,0.7034,6
Coprococcus_sp_ART55_1,0.5312,20,0.5456,31
Dorea_formicigenerans,0.3346,261,0.4475,98
Dorea_longicatena,0.5165,25,0.4937,54
Dorea_unclassified,0.393,120,0.3826,290
Lachnospiraceae_bacterium_1_1_57FAA,0.4903,40,0.4012,204
Lachnospiraceae_bacterium_1_4_56FAA,0.3447,221,0.2612,2036
Lachnospiraceae_bacterium_2_1_58FAA,0.3416,230,0.2914,1230
Lachnospiraceae_bacterium_3_1_46FAA,0.2941,425,0.2241,3837
Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.3639,175,0.3476,499
Lachnospiraceae_bacterium_4_1_37FAA,0.2988,404,0.301,1063
Lachnospiraceae_bacterium_5_1_57FAA,0.2678,527,0.2656,1901
